Prolific ID,5c50a6869963920001a8bfb3
131,GRADUATE,GRADUATE,1694416392.9228058,1694416395.8435507,1694416423.959121
2791,GRADUATE,GRADUATE,1694416460.878316,1694416461.8659809,1694416464.7434967
3053,GRADUATE,GRADUATE,1694416477.6554663,1694416478.2824624,1694416480.50098
2537,GRADUATE,GRADUATE,1694416500.236203,1694416500.8966074,1694416503.0943918
3214,GRADUATE,GRADUATE,1694416511.0343618,1694416515.1320965,1694416521.0289907
3214,GRADUATE,GRADUATE,1694416511.0343618,1694416515.1320965,1694416521.1750646
2781,GRADUATE,GRADUATE,1694416534.3840904,1694416534.8512888,1694416555.964712
2883,GRADUATE,GRADUATE,1694416577.9074464,1694416578.635916,1694416581.2271338
3575,GRADUATE,GRADUATE,1694416597.3373384,1694416729.6932805,1694416760.714521
648,GRADUATE,GRADUATE,1694416791.7023754,1694416792.3344996,1694416802.8921964
266,GRADUATE,GRADUATE,1694416815.4381497,1694416816.0591145,1694416818.5119388
1576,GRADUATE,GRADUATE,1694416828.236182,1694416828.8717415,1694416847.0188158
4096,GRADUATE,GRADUATE,1694416861.4085178,1694416861.8874662,1694416867.3332012
3920,GRADUATE,GRADUATE,1694416879.591128,1694416880.1064868,1694416882.2311363
3232,GRADUATE,GRADUATE,1694416900.3462276,1694416900.8580332,1694416904.0370028
3232,GRADUATE,GRADUATE,1694416900.3462276,1694416900.8580332,1694416904.1634219
