Prolific ID,60bfa9ff9f2ee1bbfd5ba245
988,DROPOUT,DROPOUT,1693986855.2542312,1693986856.3129904,1693986859.486495
3920,DROPOUT,DROPOUT,1693986991.292824,1693986993.6644928,1693986997.6012356
3575,GRADUATE,DROPOUT,1693987029.1739929,1693987030.425996,1693987035.4100397
3053,DROPOUT,GRADUATE,1693987071.8517973,1693987072.9947143,1693987078.543572
3232,DROPOUT,GRADUATE,1693987108.5454774,1693987109.658736,1693987112.6991765
2791,GRADUATE,GRADUATE,1693987129.5630543,1693987130.684275,1693987132.9072604
3214,GRADUATE,GRADUATE,1693987139.659338,1693987140.578669,1693987142.9382231
2781,DROPOUT,DROPOUT,1693987161.216311,1693987162.4283557,1693987165.296552
1576,DROPOUT,DROPOUT,1693987178.8032007,1693987179.9939687,1693987181.8642697
2537,GRADUATE,GRADUATE,1693987190.4784698,1693987191.8170946,1693987193.853037
266,GRADUATE,GRADUATE,1693987202.404852,1693987203.6734078,1693987205.8112242
131,DROPOUT,GRADUATE,1693987213.5085013,1693987214.281252,1693987217.4574206
648,DROPOUT,DROPOUT,1693987221.5100622,1693987222.210759,1693987223.816905
4096,DROPOUT,DROPOUT,1693987235.3463016,1693987236.3334346,1693987238.5890813
2883,DROPOUT,GRADUATE,1693987247.0741627,1693987248.0831835,1693987256.0432413
