Prolific ID,5cb0b3a61a9e59001571df04
1576,GRADUATE,GRADUATE,1694416649.763902,1694416650.715672,1694416663.2983854
131,GRADUATE,GRADUATE,1694416681.665038,1694416682.571946,1694416686.6123888
3575,GRADUATE,DROPOUT,1694416691.1034708,1694416691.8541267,1694416693.979245
2781,GRADUATE,GRADUATE,1694416695.8772109,1694416696.4285421,1694416698.5709486
648,GRADUATE,GRADUATE,1694416701.0748088,1694416702.0137668,1694416704.1356537
3232,DROPOUT,DROPOUT,1694416705.9372783,1694416706.5369015,1694416708.1156635
2791,GRADUATE,GRADUATE,1694416710.4553335,1694416710.9649436,1694416712.7790604
988,GRADUATE,DROPOUT,1694416714.6002686,1694416715.5173712,1694416717.8571115
3214,GRADUATE,GRADUATE,1694416719.7554445,1694416720.3036382,1694416723.4316783
2537,DROPOUT,DROPOUT,1694416725.0727072,1694416725.511042,1694416727.2973971
266,GRADUATE,GRADUATE,1694416729.0435019,1694416729.621679,1694416731.5281174
4096,DROPOUT,GRADUATE,1694416733.6544125,1694416734.0611644,1694416736.2695732
3920,GRADUATE,DROPOUT,1694416737.8649108,1694416738.3501759,1694416740.9498694
2883,GRADUATE,GRADUATE,1694416743.427045,1694416743.955329,1694416745.7576864
3053,GRADUATE,GRADUATE,1694416747.8050861,1694416748.5662386,1694416750.1643164
